# Agent-ergonomics audit bead ledger
# Generated 2026-07-27T23:12:20Z

## Epics
tokenzero-0oz4 | epic | Root mega-command discoverability | P0
tokenzero-jokp | epic | Intent-inference islands | P0
tokenzero-60t0 | epic | Capabilities under-advertising + empty-help | P1
tokenzero-1cwf | epic | Exit-code + status-truth + envelope | P0
tokenzero-eg3i | epic | Dangerous-op gating completeness | P1
tokenzero-1m61 | epic | MCP-CLI parity | P0
tokenzero-odib | epic | Regression test pins | P1

## Tasks (recs)
tokenzero-pec5 | task | R-001 | epic=tokenzero-0oz4 | P0 | Promote doctor --robot-triage to root mega-command + Agent s
tokenzero-bara | task | R-016 | epic=tokenzero-jokp | P0 | MCP tz_* → CLI did-you-mean map (tz_read→read, not tree)
tokenzero-j456 | task | R-017 | epic=tokenzero-1m61 | P0 | Fix CLI grep vs MCP tz_grep semantic split (literal vs regex
tokenzero-nt0i | task | R-018 | epic=tokenzero-1cwf | P0 | run status-truth: surface child failure in exit code or top-
tokenzero-bdki | task | R-002 | epic=tokenzero-jokp | P0 | Global Levenshtein-1 flag typo recovery (did-you-mean + exac
tokenzero-45lv | task | R-004 | epic=tokenzero-60t0 | P1 | Fill empty --help descriptions + include thin audit verbs in
tokenzero-dzb2 | task | R-003 | epic=tokenzero-jokp | P1 | Error-Teaches rewrite: every usage error names exact correct
tokenzero-o574 | task | R-019 | epic=tokenzero-1m61 | P1 | capabilities feature_flags must not advertise unavailable co
tokenzero-fud9 | task | R-005 | epic=tokenzero-odib | P1 | Pin ergonomics contracts with regression_tests/ (schema, std
tokenzero-jfet | task | R-020 | epic=tokenzero-1cwf | P1 | Unify JSON envelopes (schema_version/status/tool/ack) across
tokenzero-6m4v | task | R-009 | epic=tokenzero-1m61 | P1 | MCP–CLI parity: align tool names, document divergences, expo
tokenzero-zlm1 | task | R-022 | epic=tokenzero-eg3i | P1 | install-smoke and eval verbs: require --apply / dry-run defa
tokenzero-lf7l | task | R-021 | epic=tokenzero-1cwf | P1 | Exit-code consistency: missing-arg always usage (2), not blo
tokenzero-r0x7 | task | R-015 | epic=tokenzero-60t0 | P2 | Hide or gate experimental eval/audit verbs behind `tokenzero
tokenzero-owlh | task | R-008 | epic=tokenzero-eg3i | P1 | Dangerous-op surface expansion: edit/cache migrate/clients r
tokenzero-woee | task | R-013 | epic=tokenzero-jokp | P1 | Wrong did-you-mean quality gate (never suggest unrelated --h
tokenzero-ecp2 | task | R-010 | epic=tokenzero-0oz4 | P2 | Doctor as default mega-path: doctor --robot-triage or promot
tokenzero-n3fx | task | R-012 | epic=tokenzero-1cwf | P2 | JSON-everywhere audit: ensure every read-side verb accepts -
tokenzero-34k6 | task | R-011 | epic=tokenzero-jokp | P2 | Intent recovery for common verb typos (rn→run, reed→read, in
tokenzero-zf0w | task | R-006 | epic=tokenzero-1m61 | P2 | Unify search/find/grep/search alias discoverability in help 
tokenzero-8sqi | task | R-007 | epic=tokenzero-1cwf | P2 | Expand exit-code dictionary beyond 0/1/2 if needed; never ex
tokenzero-f3eo | task | R-014 | epic=tokenzero-0oz4 | P2 | robot-help / --robot-help / robot-docs guide alias consisten
tokenzero-m80o | task | R-023 | epic=tokenzero-1cwf | P1 | hook empty stdin must not silent-succeed
